Regulator	Target	MI
miR-26a-5p	F2R	0.20816211817456232
miR-26a-5p	miR-30b-5p	0.8574132937883983
miR-26a-5p	miR-223-3p	0.6831796683037972
miR-26a-5p	TGFA	0.15235578001563876
miR-26a-5p	miR-222-3p	0.7044710401381362
miR-26a-5p	CCL23	0.14126042608104594
miR-26a-5p	miR-221-3p	0.7116346647249401
miR-324-5p	NT-pro-BNP	0.19027961596828025
miR-324-5p	CD40	0.23031369953215375
miR-324-5p	miR-21-5p	0.2729484692695623
miR-324-5p	THBD	0.11540492173344319
miR-324-5p	PLAU	0.12775112477206108
miR-324-5p	TNFSF10	0.11191692597963065
miR-324-5p	CCL2	0.1070180592552541
miR-324-5p	MUC16	0.11543182543529351
miR-324-5p	TNFSF14	0.10267643228379608
miR-324-5p	IL10RA	0.0978160485531907
miR-324-5p	NGF	0.08939496407636582
miR-324-5p	GDNF	0.11507088481110817
miR-324-5p	LTA	0.10739679743786645
miR-324-5p	AGRP	0.12040175222989902
miR-324-5p	HBEGF	0.10628394205369052
miR-130a-3p	HSPB1	0.2854465561934285
miR-130a-3p	CXCL5	0.29610130250870537
miR-130a-3p	MMP3	0.09567137398262471
miR-130a-3p	PECAM1	0.19109794839901095
miR-130a-3p	SULT1A1	0.29562487425406925
miR-130a-3p	miR-19b-3p	0.6492729074276573
miR-130a-3p	KITLG	0.11704164669351425
miR-221-3p	IL15RA	0.19012933645480778
miR-221-3p	miR-99b-5p	0.43284196634781225
miR-221-3p	CCL7	0.12948704048255077
miR-221-3p	miR-26a-5p	0.748754408590858
miR-221-3p	let-7d-5p	0.5064351356598555
miR-221-3p	GH1	0.13330264221395005
let-7b-5p	PLAT	0.197011165890566
let-7b-5p	ESM1	0.1283118349132204
let-7b-5p	HAVCR1	0.10223114820442092
let-7b-5p	miR-19b-3p	0.6895434631912822
let-7b-5p	TNFSF12	0.09290228119633959
let-7b-5p	OSM	0.10168597047342232
let-7d-5p	IKBKG	0.3692994310033324
let-7d-5p	LIFR	0.1423920527217275
let-7d-5p	DKK1	0.10732455686313624
let-7d-5p	miR-126-3p	0.6458600062088227
let-7d-5p	EGF	0.4111810460443408
let-7d-5p	miR-221-3p	0.5064351356598555
miR-140-5p	miR-126-3p	0.6421991241709124
miR-140-5p	THBD	0.1154838756967056
miR-140-5p	miR-222-3p	0.7234029959737907
miR-140-5p	DNER	0.1067934098725134
miR-140-5p	XPNPEP2	0.18579830141130582
miR-192-5p	CCL13	0.12386673639979495
miR-192-5p	CXCL6	0.11285628886656252
miR-192-5p	CD40	0.10918001745081796
miR-192-5p	CSF1	0.17654956602738459
miR-192-5p	MUC16	0.2529289811416984
miR-192-5p	GDF15	0.09974913904928329
miR-192-5p	miR-885-5p	0.23533870684455938
miR-192-5p	miR-320a	0.12807314414987747
miR-192-5p	F3	0.08982810232824523
miR-192-5p	miR-143-3p	0.0978177741531514
miR-192-5p	CXCL11	0.09350632458383945
miR-192-5p	CCL3	0.15117337557732924
miR-192-5p	EIF4EBP1	0.14262715287321814
miR-192-5p	AGRP	0.09594376299116458
miR-30b-5p	miR-145-5p	0.6128771359941965
miR-30b-5p	FLT3LG	0.13366737767419856
miR-30b-5p	IL1RL1	0.1204707183912932
miR-30b-5p	miR-26a-5p	0.8574132937883974
miR-30b-5p	CD6	0.11584192847582386
miR-223-3p	PDGFB	0.3774688766049392
miR-223-3p	miR-574-3p	0.4888842151056698
miR-223-3p	miR-191-5p	0.6144405343958157
miR-223-3p	miR-24-3p	1.1610005347321657
miR-223-3p	miR-29a-3p	0.5571600329409598
miR-223-3p	miR-197-3p	0.5521569040576404
miR-223-3p	miR-26a-5p	0.6831796683037972
miR-223-3p	IL18	0.16240482294768732
miR-223-3p	miR-223-5p	0.6391318844004221
miR-223-3p	miR-150-5p	0.27493108173072045
miR-223-3p	ADA	0.10233610597220011
miR-223-5p	MPO	0.10714126509769795
miR-223-5p	IKBKG	0.361588618421508
miR-223-5p	RNY4-3p	0.5884020771574416
miR-223-5p	CXCL11	0.1115281976918876
miR-223-5p	FABP4	0.11879926117972595
miR-223-5p	miR-223-3p	0.6391318844004221
miR-223-5p	miR-92a-3p	0.4963205768594312
miR-375	IL10	0.16989703135414658
miR-375	CSF1	0.12421674541065553
miR-375	miR-885-5p	0.14969600841350594
miR-375	PRL	0.10887969989086699
miR-375	DKK1	0.1441285964284571
miR-375	FGF5	0.15551641747042577
miR-375	miR-191-5p	0.17411528945066124
miR-375	OLR1	0.18083544425460385
miR-92a-3p	miR-122-5p	0.12931003500661475
miR-92a-3p	MMP1	0.13891364860058175
miR-92a-3p	miR-320a	0.5096280921429539
miR-92a-3p	miR-191-5p	0.4951289269224475
miR-92a-3p	RNY4-5p	0.7483214172261263
miR-92a-3p	IL7	0.1131759613763963
miR-92a-3p	miR-223-5p	0.4963205768594303
miR-92a-3p	PTX3	0.1439619703502677
miR-99b-5p	CASP8	0.21219188829447333
miR-99b-5p	miR-221-3p	0.43284196634781136
miR-150-5p	CSTB	0.14787229583808692
miR-150-5p	MB	0.12608287130234963
miR-150-5p	FGF23	0.14562696808040698
miR-150-5p	FGF21	0.12405806335109748
miR-150-5p	IL15RA	0.13583239312731266
miR-150-5p	MMP3	0.09390873103873698
miR-150-5p	DKK1	0.15970292157320198
miR-150-5p	miR-223-3p	0.27493108173072045
miR-150-5p	CD5	0.12261295562065833
miR-150-5p	CD244	0.1003303872466903
miR-16-5p	IL1RN	0.11589281060028611
miR-16-5p	AGER	0.1603268081622211
miR-16-5p	miR-574-3p	0.44244802965940444
miR-16-5p	miR-486-5p	0.4998823389642597
miR-16-5p	EIF4EBP1	0.1834658797204547
