"SUID","interaction","MI","name","pvalue","selected","shared interaction","shared name"
"6735","interacts with","0.2579777617490052","IL17C (interacts with) IL10","0.0","false","interacts with","IL17C (interacts with) IL10"
"6736","interacts with","0.14677264605867715","IL17C (interacts with) CCL20","0.0","false","interacts with","IL17C (interacts with) CCL20"
"6737","interacts with","0.21778789411638677","IL17C (interacts with) IL17A","0.0","false","interacts with","IL17C (interacts with) IL17A"
"6738","interacts with","0.234996741469456","IL17C (interacts with) TNFRSF9","8.024779115700653E-5","false","interacts with","IL17C (interacts with) TNFRSF9"
"6739","interacts with","0.39844645404019585","APOB (interacts with) F13A1","0.0","false","interacts with","APOB (interacts with) F13A1"
"6740","interacts with","0.4485019466205314","APOB (interacts with) APOC2","0.0","false","interacts with","APOB (interacts with) APOC2"
"6741","interacts with","0.4264149893833568","APOB (interacts with) APOC3","1.432542973134332E-11","false","interacts with","APOB (interacts with) APOC3"
"6742","interacts with","0.39139816027523006","APOB (interacts with) SERPINA6","0.004285196681163228","false","interacts with","APOB (interacts with) SERPINA6"
"6743","interacts with","0.37464112999611715","APOB (interacts with) AFM","0.0283586604778856","false","interacts with","APOB (interacts with) AFM"
"6744","interacts with","0.44650252020832454","APOB (interacts with) APOE","8.024779115700653E-5","false","interacts with","APOB (interacts with) APOE"
"6745","interacts with","0.32256469619467526","APOB (interacts with) HBE1","0.0","false","interacts with","APOB (interacts with) HBE1"
"6746","interacts with","0.4324635908529006","APOB (interacts with) TTR","0.0","false","interacts with","APOB (interacts with) TTR"
"6747","interacts with","0.4318303317330894","APOB (interacts with) GC","0.0","false","interacts with","APOB (interacts with) GC"
"6748","interacts with","0.44645023408077517","APOB (interacts with) C3","0.0","false","interacts with","APOB (interacts with) C3"
